Date,Close,Change
9/6/17,146.07,-0.87
9/7/17,146.99,0.92
9/8/17,144.99,-2
9/11/17,146.18,1.19
9/12/17,144.83,-1.35
9/13/17,143.7,-1.13
9/14/17,142.85,-0.85
9/15/17,145.01,2.16
9/18/17,144.77,-0.24
9/19/17,140.98,-3.79
9/20/17,140.4,-0.58
9/21/17,139.4,-1
9/22/17,137.78,-1.62
9/25/17,137.39,-0.39
9/26/17,136.42,-0.97
9/27/17,134.74,-1.68
9/28/17,136.1,1.36
9/29/17,136.68,0.58
10/2/17,135.86,-0.82
10/3/17,136.66,0.8
10/4/17,138.84,2.18
10/5/17,139.25,0.41
10/6/17,139.11,-0.14
10/9/17,137.94,-1.17
10/10/17,137.09,-0.85
10/11/17,137.93,0.84
10/12/17,140.03,2.1
10/13/17,139.97,-0.06
10/16/17,139.59,-0.38
10/17/17,139.13,-0.46
10/18/17,137.48,-1.65
10/19/17,138.39,0.91
10/20/17,139.07,0.68
10/23/17,138.75,-0.32
10/24/17,138.03,-0.72
10/25/17,137.33,-0.7
10/26/17,138.45,1.12
10/27/17,139.03,0.58
10/30/17,142.87,3.84
10/31/17,143.67,0.8
11/1/17,140.81,-2.86
11/2/17,142.44,1.63
11/3/17,142.1,-0.34
11/6/17,150.16,8.06
11/7/17,150.66,0.5
11/8/17,152.72,2.06
11/9/17,151.82,-0.9
11/10/17,150.54,-1.28
11/13/17,150.04,-0.5
11/14/17,149.49,-0.55
11/15/17,148.93,-0.56
11/16/17,148.4,-0.53
11/17/17,145.87,-2.53
11/20/17,146.22,0.35
11/21/17,146.59,0.37
11/22/17,145.31,-1.28
11/24/17,147.3,1.99
11/27/17,148.23,0.93
11/28/17,148.64,0.41
11/29/17,146.3,-2.34
11/30/17,143.93,-2.37
12/1/17,143.61,-0.32
12/4/17,138.97,-4.64
12/5/17,140.76,1.79
12/6/17,141.8,1.04
12/7/17,144.11,2.31
12/8/17,142.47,-1.64
12/11/17,144.05,1.58
12/12/17,143.51,-0.54
12/13/17,143.73,0.22
12/14/17,143.64,-0.09
12/15/17,142.76,-0.88
12/18/17,142.84,0.08
12/19/17,141.86,-0.98
12/20/17,140.19,-1.67
12/21/17,139.61,-0.58
12/22/17,140.66,1.05
12/26/17,140.91,0.25
12/27/17,141.56,0.65
12/28/17,142.91,1.35
12/29/17,142.67,-0.24
1/2/18,141.13,-1.54
1/3/18,141.68,0.55
1/4/18,139.61,-2.07
1/5/18,140.51,0.9
1/8/18,142.01,1.5
1/9/18,141.05,-0.96
1/10/18,137.61,-3.44
1/11/18,134.97,-2.64
1/12/18,133,-1.97
1/16/18,135.63,2.63
1/17/18,136.64,1.01
1/18/18,135.19,-1.45
1/19/18,137.62,2.43
1/22/18,139.24,1.62
1/23/18,141.2,1.96
1/24/18,141.76,0.56
1/25/18,142.96,1.2
1/26/18,145.13,2.17
