Date,Close,Change
12/6/18,55.81,-4
12/7/18,53.41,-2.4
12/10/18,52.34,-1.07
12/11/18,53.49,1.15
12/12/18,53.71,0.22
12/13/18,52.45,-1.26
12/14/18,51.17,-1.28
12/17/18,47.87,-3.3
12/18/18,47.99,0.12
12/19/18,48.58,0.59
12/20/18,45.87,-2.71
12/21/18,44.01,-1.86
12/24/18,42.88,-1.13
12/26/18,48.33,5.45
12/27/18,48.33,0
12/28/18,48.41,0.08
12/31/18,49.57,1.16
1/2/19,48.18,-1.39
1/3/19,46.23,-1.95
1/4/19,49.44,3.21
1/7/19,52.13,2.69
1/8/19,53.78,1.65
1/9/19,55.07,1.29
1/10/19,55.55,0.48
1/11/19,55.47,-0.08
1/14/19,57.13,1.66
1/15/19,59.24,2.11
1/16/19,60.43,1.19
1/17/19,63.29,2.86
1/18/19,62.38,-0.91
1/22/19,60.48,-1.9
1/23/19,60.17,-0.31
1/24/19,61.03,0.86
1/25/19,63,1.97
1/28/19,62.04,-0.96
1/29/19,60.76,-1.28
1/30/19,62.07,1.31
1/31/19,64.2,2.13
2/1/19,63.2,-1
2/4/19,64.42,1.22
2/5/19,63.82,-0.6
2/6/19,64,0.18
2/7/19,62.25,-1.75
2/8/19,62.59,0.34
2/11/19,63.57,0.98
2/12/19,65.77,2.2
2/13/19,66.65,0.88
2/14/19,66.58,-0.07
2/15/19,69.43,2.85
2/19/19,69.99,0.56
2/20/19,69.5,-0.49
2/21/19,68.25,-1.25
2/22/19,69.15,0.9
2/25/19,69.98,0.83
2/26/19,67.41,-2.57
2/27/19,68.99,1.58
2/28/19,64.36,-4.63
3/1/19,67.55,3.19
3/4/19,63.13,-4.42
3/5/19,63.75,0.62
3/6/19,60.16,-3.59
3/7/19,59.32,-0.84
3/8/19,58.92,-0.4
3/11/19,58.74,-0.18
3/12/19,58.09,-0.65
3/13/19,60.15,2.06
3/14/19,60.94,0.79
3/15/19,62.86,1.92
3/18/19,63.1,0.24
3/19/19,63.12,0.02
3/20/19,61.99,-1.13
3/21/19,63.26,1.27
3/22/19,58.77,-4.49
3/25/19,55.66,-3.11
3/26/19,52.5,-3.16
3/27/19,50.87,-1.63
3/28/19,53.68,2.81
3/29/19,55.6,1.92
4/1/19,53.63,-1.97
4/2/19,55.52,1.89
4/3/19,55.46,-0.06
4/4/19,57.01,1.55
4/5/19,58.49,1.48
4/8/19,57.06,-1.43
4/9/19,55.93,-1.13
4/10/19,56.57,0.64
4/11/19,55.15,-1.42
4/12/19,53.45,-1.7
4/15/19,54.03,0.58
4/16/19,52.55,-1.48
4/17/19,49.86,-2.69
4/18/19,51.6,1.74
4/22/19,54.96,3.36
4/23/19,54.36,-0.6
4/24/19,54.46,0.1
4/25/19,55.03,0.57
4/26/19,57.75,2.72
4/29/19,59.19,1.44
4/30/19,56.88,-2.31
5/1/19,58,1.12
5/2/19,58,0
5/3/19,60.93,2.93
5/6/19,62.55,1.62
5/7/19,61.72,-0.83
5/8/19,61.56,-0.16
5/9/19,61.5,-0.06
5/10/19,60.97,-0.53
5/13/19,58.03,-2.94
5/14/19,58.52,0.49
5/15/19,59.1,0.58
5/16/19,61.48,2.38
5/17/19,59.43,-2.05
5/20/19,60.61,1.18
